9.377682403433476033e-01,8.828282828282828509e-01,9.161425576519915959e-01,9.604395604395604691e-01
7.140783744557329671e-01,5.553047404063204961e-01,6.406250000000000000e-01,8.065573770491802907e-01
9.240490006447453775e-01,8.588207094918504092e-01,9.140306122448980108e-01,9.342894393741851822e-01
5.294117647058823595e-01,3.599999999999999867e-01,3.750000000000000000e-01,9.000000000000000222e-01
8.903493600830162391e-01,8.023690773067331250e-01,9.153627311522047894e-01,8.666666666666666963e-01
6.307977736549165160e-01,4.607046070460704690e-01,5.396825396825396526e-01,7.589285714285713969e-01
9.075471698113207752e-01,8.307426597582038275e-01,9.339805825242718518e-01,8.825688073394495348e-01
9.512367491166078270e-01,9.070080862533692612e-01,9.438990182328190759e-01,9.586894586894586512e-01
9.296139563001986073e-01,8.684847506858157651e-01,9.019607843137255054e-01,9.590163934426229053e-01
9.089309282886053332e-01,8.330645161290322065e-01,8.563730569948186933e-01,9.683618467307241184e-01
7.301587301587301182e-01,5.749999999999999556e-01,7.931034482758620996e-01,6.764705882352941568e-01
9.039913700107874428e-01,8.248031496062991907e-01,9.249448123620308548e-01,8.839662447257383704e-01
7.019867549668874496e-01,5.408163265306122902e-01,7.004405286343612369e-01,7.035398230088495408e-01
8.531468531468531236e-01,7.439024390243902385e-01,8.472222222222222099e-01,8.591549295774647543e-01
8.301075268817204034e-01,7.095588235294117974e-01,8.693693693693693714e-01,7.942386831275720649e-01
7.292203927792104690e-01,5.738370277864501823e-01,7.495921696574224802e-01,7.099266125917342851e-01
9.040050858232676623e-01,8.248259860788863529e-01,9.330708661417322913e-01,8.766954377311960700e-01
8.871866295264624336e-01,7.972465581977471460e-01,8.737997256515774858e-01,9.009900990099010132e-01
9.008662175168431485e-01,8.196147110332749897e-01,8.723205964585274419e-01,9.313432835820895095e-01
8.836937463471653542e-01,7.916230366492146286e-01,8.790697674418604946e-01,8.883666274970623000e-01
9.413533834586466087e-01,8.892045454545454142e-01,9.152046783625731319e-01,9.690402476780185514e-01
8.030303030303029832e-01,6.708860759493671111e-01,8.030303030303029832e-01,8.030303030303029832e-01
7.363184079601989840e-01,5.826771653543306728e-01,6.915887850467289377e-01,7.872340425531915153e-01
7.290076335877863078e-01,5.735735735735735252e-01,6.996336996336995906e-01,7.609561752988047711e-01
7.627118644067796271e-01,6.164383561643835829e-01,9.183673469387755306e-01,6.521739130434782705e-01
5.039370078740157410e-01,3.368421052631578871e-01,5.423728813559322015e-01,4.705882352941176405e-01
8.768115942028985588e-01,7.806451612903225756e-01,8.039867109634551978e-01,9.641434262948207490e-01
8.266666666666666607e-01,7.045454545454545858e-01,8.493150684931506378e-01,8.051948051948052409e-01
8.886956521739129977e-01,7.996870109546165839e-01,8.964912280701754499e-01,8.810344827586207295e-01
8.257080610021786393e-01,7.031539888682746264e-01,8.366445916114790826e-01,8.150537634408602239e-01
8.467048710601718930e-01,7.341614906832297782e-01,7.695312500000000000e-01,9.410828025477706582e-01
9.225376796354713971e-01,8.562134027325959407e-01,8.989071038251366108e-01,9.474442044636428584e-01
9.162995594713656544e-01,8.455284552845528934e-01,9.774436090225563367e-01,8.623548922056384347e-01
